year,team,playerID,name,age,win,lose,WL,ERA,game,starter,closer,complete,shutout,save,outs,hit,run,ER,HR,BB,IBB,K,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,K9,KBB
1950,Daiei Stars,takama000tos,Toshio Takamatsu,30,3,2,0.6,5.05,15,6,5,1,0,-99999,155.00000000000003,62,36,29,6,20,-99999,27,0,0,0,234,1.587,10.8,1,3.5,4.7,1.35
1950,Daiei Stars,takeuc000kaz,Kazuo Takeuchi*,18,0,0,-99999,40.5,1,0,0,0,0,-99999,2,4,3,3,0,1,-99999,0,0,0,0,7,7.5,54,0,13.5,0,0
1950,Daiei Stars,yabumo000kaz,Kazuo Yabumoto,19,0,1,0,0,1,1,0,0,0,-99999,8.000000000000002,4,4,0,0,3,-99999,1,0,0,0,16,2.625,13.5,0,10.1,3.4,0.33
1950,Hankyu Braves,abe---000hac,Hachiro Abe*,25,14,18,0.438,3.53,53,37,14,14,4,-99999,834,251,134,109,16,104,-99999,156,1,2,2,1180,1.277,8.1,0.5,3.4,5.1,1.5
1950,Hankyu Braves,hamasa000shi,Shinji Hamasaki*,48,1,2,0.333,7.07,9,3,4,0,0,-99999,84,34,25,22,3,19,-99999,12,0,0,2,129,1.893,10.9,1,6.1,3.9,0.63
1950,Hankyu Braves,harada000koi,Koichi Harada,22,1,3,0.25,3.59,28,10,12,0,0,-99999,323,99,53,43,7,56,-99999,46,2,0,3,469,1.44,8.3,0.6,4.7,3.8,0.82
1950,Hankyu Braves,hitoko000taj,Taju Hitokoto,29,1,5,0.167,5.77,16,6,5,0,0,-99999,131.00000000000003,63,39,28,4,17,-99999,13,1,0,1,212,1.832,13,0.8,3.5,2.7,0.76
1950,Hankyu Braves,noguch000jir,Jiro Noguchi,30,15,9,0.625,3.17,35,18,14,10,2,-99999,544.9999999999999,190,85,64,20,14,-99999,61,1,0,0,750,1.123,9.4,1,0.7,3,4.36
1950,Hankyu Braves,osaki-000aki,Akio Osaki,19,0,0,-99999,9.31,4,0,4,0,0,-99999,28.999999999999993,17,12,10,1,6,-99999,2,1,0,0,53,2.379,15.8,0.9,5.6,1.9,0.33
1950,Hankyu Braves,shibat000eij,Eiji Shibata,19,4,3,0.571,2.62,14,9,3,3,0,-99999,227.00000000000003,72,29,22,7,9,-99999,32,1,0,0,311,1.07,8.6,0.8,1.1,3.8,3.56
1950,Hankyu Braves,tenpo-000yos,Yoshio Tenbo,26,18,24,0.429,3.68,57,37,16,21,0,-99999,984,322,164,134,20,102,-99999,141,0,0,6,1380,1.293,8.8,0.5,2.8,3.9,1.38
1950,Hiroshima Carp,hakota000yos,Yoshikatsu Hakota*,19,0,0,-99999,12,2,0,1,0,0,-99999,9,5,5,4,0,4,-99999,0,0,0,0,17,3,15,0,12,0,0
1950,Hiroshima Carp,hasega000ryo,Ryohei Hasegawa,20,15,27,0.357,3.88,56,37,18,27,3,-99999,1045.0000000000002,345,190,150,24,170,-99999,146,6,2,5,1518,1.478,8.9,0.6,4.4,3.8,0.86
1950,Hiroshima Carp,hayash000jir,Jiro Hayashi,16,0,1,0,20.25,1,0,0,0,0,-99999,4.000000000000001,3,3,3,0,1,-99999,0,0,0,0,7,3,20.3,0,6.8,0,0
1950,Hiroshima Carp,ichida000nat,Natsuo Ichida,32,0,0,-99999,8.44,5,0,1,0,0,-99999,15.999999999999996,9,11,5,1,5,-99999,4,0,1,1,30,2.625,15.2,1.7,8.4,6.8,0.8
1950,Hiroshima Carp,ishika000kiy,Kiyoitsu Ishikawa,23,1,5,0.167,5.73,33,6,22,1,0,-99999,377,154,109,80,18,70,-99999,40,3,0,1,593,1.782,11,1.3,5,2.9,0.57
1950,Hiroshima Carp,kasama000min,Minoru Kasamatsu,34,2,8,0.2,5,21,11,7,4,0,-99999,312.99999999999994,133,75,58,13,25,-99999,21,2,0,0,472,1.514,11.5,1.1,2.2,1.8,0.84
1950,Hiroshima Carp,kuroka000hir,Hiroshi Kurokawa,20,0,1,0,11.57,3,1,1,0,0,-99999,21,13,12,9,2,8,-99999,3,0,0,0,42,3,16.7,2.6,10.3,3.9,0.38
1950,Hiroshima Carp,matsuk000hir,Hiroji Matsukawa,23,5,11,0.313,5.11,34,14,12,3,0,-99999,444,148,101,84,16,71,-99999,52,2,1,3,660,1.48,9,1,4.3,3.2,0.73
1950,Hiroshima Carp,morii-000shi,Shigeru Morii,35,2,8,0.2,5.74,15,13,1,6,0,-99999,234.99999999999994,96,62,50,13,24,-99999,22,0,0,0,354,1.532,11,1.5,2.8,2.5,0.92
1950,Hiroshima Carp,naito-000koz,Kozo Naito*,34,11,19,0.367,5.53,41,36,1,12,0,-99999,649,276,166,133,23,79,-99999,78,4,0,3,997,1.641,11.5,1,3.3,3.2,0.99
1950,Hiroshima Carp,nakaya000tad,Masayoshi Nakayama,32,2,10,0.167,7.69,20,10,5,1,0,-99999,179.00000000000003,79,66,51,7,41,-99999,19,3,0,0,299,2.011,11.9,1.1,6.2,2.9,0.46
1950,Hiroshima Carp,takech000osa,Osamu Takechi,24,3,6,0.333,6.53,10,9,1,5,0,-99999,182.00000000000003,75,52,44,10,10,-99999,7,0,0,0,270,1.401,11.1,1.5,1.5,1,0.7
1950,Hiroshima Carp,takemu000mot,Motoo Takemura,26,0,0,-99999,5.26,8,1,4,0,0,-99999,77,28,21,15,2,12,-99999,4,1,0,1,112,1.558,9.8,0.7,4.2,1.4,0.33
1950,Hiroshima Carp,umeda-000mas,Masami Umeda,27,0,0,-99999,3.18,2,0,2,0,0,-99999,17,10,4,2,0,4,-99999,4,0,0,1,28,2.471,15.9,0,6.4,6.4,1
1950,Hiroshima Carp,yoshiw000mas,Masahiro Yoshiwaka,19,0,0,-99999,0,1,0,0,0,0,-99999,5,0,0,0,0,3,-99999,1,0,0,0,7,1.8,0,0,16.2,5.4,0.33
1950,Kintetsu Pearls,goi---000koz,Kozo Goi,25,8,15,0.348,3.86,37,25,11,12,1,-99999,672,224,135,96,17,99,-99999,86,5,1,4,985,1.442,9,0.7,4,3.5,0.87
1950,Kintetsu Pearls,hattor001tsu,Tsutomu Hattori,26,0,0,-99999,4.5,4,0,2,0,0,-99999,18,8,5,3,0,2,-99999,3,0,0,0,28,1.667,12,0,3,4.5,1.5
1950,Kintetsu Pearls,kagawa000hid,Hidemitsu Kagawa,20,0,2,0,3.9,6,2,3,2,0,-99999,83,33,17,12,0,7,-99999,9,0,0,0,126,1.446,10.7,0,2.3,2.9,1.29
1950,Kintetsu Pearls,kuro--000shi,Shigeaki Kuroo,23,12,21,0.364,3.35,41,35,5,24,1,-99999,790.9999999999999,248,130,98,25,62,-99999,69,1,1,3,1084,1.176,8.5,0.9,2.1,2.4,1.11
1950,Kintetsu Pearls,sawafu000mit,Mitsuro Sawafuji,30,18,19,0.486,3.7,50,37,12,20,3,-99999,904.9999999999999,292,153,124,20,83,-99999,164,9,2,2,1254,1.243,8.7,0.6,2.5,4.9,1.98
1950,Kintetsu Pearls,sekine000jun,Junzo Sekine*,23,4,12,0.25,5.47,26,14,9,8,0,-99999,444,185,110,90,16,53,-99999,69,7,1,1,689,1.608,11.3,1,3.2,4.2,1.3
1950,Kintetsu Pearls,takech000fum,Fumio Takechi,23,2,3,0.4,3.17,16,7,8,4,1,-99999,281,86,41,33,7,25,-99999,18,5,0,1,388,1.185,8.3,0.7,2.4,1.7,0.72
1950,Kokutetsu Swallows,cho---000tak,Takeo Cho,25,0,5,0,4.15,18,3,10,0,0,-99999,143.00000000000003,46,33,22,8,24,-99999,8,1,1,5,211,1.469,8.7,1.5,4.5,1.5,0.33
1950,Kokutetsu Swallows,furuya000nor,Norio Furuya,28,9,19,0.321,4.01,49,26,14,9,1,-99999,700.9999999999999,249,136,104,20,86,-99999,65,0,2,4,1020,1.434,9.6,0.8,3.3,2.5,0.76
1950,Kokutetsu Swallows,hatsuo000eij,Eiji Hatsuoka*,20,0,3,0,15.43,6,4,0,0,0,-99999,34.99999999999999,28,22,20,3,5,-99999,1,0,0,0,64,2.829,21.6,2.3,3.9,0.8,0.2
1950,Kokutetsu Swallows,kaneda002mas,Masaichi Kaneda*,16,8,12,0.4,3.94,30,20,9,9,1,-99999,493.9999999999999,132,93,72,12,127,-99999,143,1,3,1,727,1.573,7.2,0.7,6.9,7.8,1.13
